Date,Category,Amount,Payment_Mode
2024-01-01,Food,1589,UPI
2024-01-02,Food,1848,UPI
2024-01-03,Shopping,118,UPI
2024-01-04,Travel,1154,Card
2024-01-05,Food,1960,Card
2024-01-06,Travel,1655,Cash
2024-01-07,Bills,1029,UPI
2024-01-08,Shopping,1021,UPI
2024-01-09,Travel,1129,Cash
2024-01-10,Travel,1627,Card
2024-01-11,Bills,1708,Cash
2024-01-12,Entertainment,1990,Cash
2024-01-13,Travel,801,Card
2024-01-14,Bills,429,Cash
2024-01-15,Bills,699,Card
2024-01-16,Bills,1809,Card
2024-01-17,Bills,924,UPI
2024-01-18,Food,649,Card
2024-01-19,Shopping,1253,UPI
2024-01-20,Bills,928,Card
2024-01-21,Shopping,719,UPI
2024-01-22,Shopping,871,Card
2024-01-23,Food,229,Card
2024-01-24,Food,1594,UPI
2024-01-25,Shopping,175,Card
2024-01-26,Shopping,1157,Cash
2024-01-27,Shopping,1144,Card
2024-01-28,Food,1935,Card
2024-01-29,Shopping,529,UPI
2024-01-30,Shopping,1665,Card
